w,x_global,y_global,J,P_finish,F,symmetry_copy
0,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.0939095126215515,False
0,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.0939095126215515,True
0.05,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.08921403699047392,False
0.05,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.08921403699047392,True
0.1,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.08451856135939637,False
0.1,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.08451856135939637,True
0.2,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.0751276100972412,False
0.2,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.0751276100972412,True
0.35,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.061041183204008476,False
0.35,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.061041183204008476,True
0.5,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.04695475631077575,False
0.5,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.04695475631077575,True
0.65,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.03286832941754302,False
0.65,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.03286832941754302,True
0.8,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.018781902524310296,False
0.8,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.018781902524310296,True
0.9,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.009390951262155148,False
0.9,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.009390951262155148,True
0.95,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.004695475631077579,False
0.95,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.004695475631077579,True
1,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.0,False
1,1770.097542647531,-41.9637373559216,1.87819025243103,1.0,0.0,True
