x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,level,scan
-1400.0,600.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1527.71664692559,-1400.0,600.0,2,6
-1400.0,700.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1569.68171961297,-1400.0,700.0,2,6
-1400.0,800.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1616.75083067265,-1400.0,800.0,2,6
-1400.0,900.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1668.49207252365,-1400.0,900.0,2,6
-1400.0,1000.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1724.48495025843,-1400.0,1000.0,2,6
-1400.0,1100.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1784.32925528373,-1400.0,1100.0,2,6
-1400.0,1200.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1847.65078920638,-1400.0,1200.0,2,6
-1400.0,1300.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1914.10448681583,-1400.0,1300.0,2,6
-1400.0,1400.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1983.37554034582,-1400.0,1400.0,2,6
-1400.0,1500.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,2055.17908748499,-1400.0,1500.0,2,6
-1400.0,1600.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,2129.25893898069,-1400.0,1600.0,2,6
-1300.0,0.0,745.409280437819,7.19622103530627e-08,0.0,0.0,0.996611787837795,0.0033625707964007,0.0,7.19622103530627e-08,-2.56413658042964e-05,1.13686837721616e-13,132.0,2.0,0.0,1304.99924139328,-1300.0,0.0,2,6
-1300.0,100.0,745.522854330866,6.00892908034339e-06,0.0,0.0,0.996814740196951,0.0031892354439428,0.0,6.00892908034339e-06,3.97564089404945e-06,1.13686837721616e-13,132.0,2.0,0.0,1308.8183860378,-1300.0,100.0,2,6
-1300.0,200.0,745.90136344557,1.66993240004713e-05,0.0,0.0,0.997420684088406,0.00270453427001246,0.0,1.66993240004713e-05,0.000125218358418389,1.13686837721616e-13,132.0,2.0,0.0,1320.22275212335,-1300.0,200.0,2,6
-1300.0,300.0,746.238700743359,2.62257805439672e-05,0.0,0.0,0.997977895564009,0.00200852143646792,0.0,2.62257805439672e-05,-1.3582999523476e-05,1.13686837721616e-13,132.0,2.0,0.0,1339.01854461308,-1300.0,300.0,2,6
-1300.0,400.0,746.731988508877,3.18924770145239e-05,0.0,0.0,0.998725850672005,0.0012481893248185,0.0,3.18924770145239e-05,-2.59600031760066e-05,1.13686837721616e-13,132.0,2.0,0.0,1364.90043974324,-1300.0,400.0,2,6
-1300.0,500.0,747.192568852577,3.11793602528236e-05,0.0,0.0,0.999400347011321,0.000586859267373816,0.0,3.11793602528236e-05,-1.27937213055818e-05,1.13686837721616e-13,132.0,2.0,0.0,1397.47477902281,-1300.0,500.0,2,6
-1300.0,600.0,747.501743261359,2.20398599949207e-05,0.0,0.0,0.999841699186775,0.000158934486472498,0.0,2.20398599949207e-05,6.33673247207867e-07,1.13686837721616e-13,132.0,2.0,0.0,1436.28628956709,-1300.0,600.0,2,6
