x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,w,a_m,beta_deg
906.616940073079,572.7885087952,25.0757219305311,0.266218101696506,0.0,0.0,0.000226353431878567,0.999773646568109,0.0,0.266218101696506,-1.19904086659517e-14,1.06581410364015e-13,5250.0,4.0,1.0,556.878623009865,906.616940073079,572.7885087952,0,0.0,0.0
895.786469470461,562.29002494931,25.08622944755,0.28767730475581,0.0,0.0,0.000112641428802371,0.999887358571197,0.0,0.28767730475581,-7.7715611723761e-16,1.06581410364015e-13,5586.0,4.0,1.0,546.57075590878,895.786469470461,562.29002494931,0.05,0.0,0.0
885.869215864265,554.025922660584,25.1124513334643,0.304022582091716,0.0,0.0,5.2227124428123e-05,0.999947772875536,0.0,0.304022582091716,-3.54161144855425e-14,1.06581410364015e-13,5082.0,4.0,1.0,538.480992223537,885.869215864265,554.025922660584,0.1,0.0,0.0
867.443056398354,541.793287188394,25.1970352289063,0.328364013031935,0.0,0.0,6.30159831084354e-06,0.999993698401647,6.30159831084354e-06,0.328357711433624,-4.19664303308309e-14,1.06581410364015e-13,5082.0,4.0,1.0,526.571800665057,867.443056398354,541.793287188394,0.2,0.0,0.0
840.921239985028,529.583659829511,25.3912445788793,0.354196970328774,0.0,0.0,0.0,0.999999999999999,0.0,0.354196970328774,-5.55111512312578e-16,1.06581410364015e-13,4242.0,4.0,1.0,514.82690241106,840.921239985028,529.583659829511,0.35,0.0,0.0
813.824371479152,521.018510869701,25.6746025594921,0.373364048581301,0.0,0.0,0.0,0.999999999999999,0.0,0.373364048581301,-1.11022302462516e-15,1.06581410364015e-13,4242.0,4.0,1.0,506.735963527265,813.824371479152,521.018510869701,0.5,0.0,0.0
785.070084106417,513.089848289038,26.0760243822643,0.388135209679879,0.0,0.0,0.0,1.00000000000002,0.0,0.388135209679879,1.88737914186277e-14,1.06581410364015e-13,3570.0,4.0,0.0,499.31034003036,785.070084106417,513.089848289038,0.65,0.0,0.0
754.029054966445,502.358537975245,26.6505996180946,0.398915466793778,0.0,0.0,0.0,1.00000000000001,0.0,0.398915466793778,9.76996261670138e-15,1.06581410364015e-13,3654.0,4.0,1.0,489.122404803888,754.029054966445,502.358537975245,0.8,0.0,0.0
731.423130778445,490.731442402798,27.1956180996089,0.403657784398241,0.0,0.0,0.0,1.0,0.0,0.403657784398241,-4.44089209850063e-16,1.13686837721616e-13,3990.0,4.0,1.0,477.891607871233,731.423130778445,490.731442402798,0.9,0.0,0.0
719.103049974651,482.248273896758,27.5563608124741,0.405105218188292,0.0,0.0,0.0,1.0,0.0,0.405105218188292,-4.44089209850063e-16,1.13686837721616e-13,4242.0,4.0,1.0,469.624746450374,719.103049974651,482.248273896758,0.95,0.0,0.0
705.538591283356,470.667882718127,28.0244885004235,0.40567955603705,0.0,0.0,0.0,1.0,0.0,0.40567955603705,2.22044604925031e-16,1.13686837721616e-13,3990.0,4.0,1.0,458.282851467592,705.538591283356,470.667882718127,1,0.0,0.0
