a_m,beta_deg,w,x_global,y_global,J,P_finish,F,probability_residual,mec_gap
0,0,0,906.616940073079,572.7885087952,25.0757219305311,0.266218101696498,1.253786096526555,-1.02140518265514e-14,9.9475983006414e-14
0,0,0.05,895.786469470461,562.29002494931,25.0862294475501,0.287677304755809,1.2272120335208392,-6.66133814775094e-16,9.9475983006414e-14
0,0,0.1,885.869215864265,554.025922660584,25.1124513334642,0.304022582091715,1.1996580517967175,-3.77475828372553e-14,1.06581410364015e-13
0,0,0.2,867.443056398354,541.793287188394,25.1970352289062,0.328364013031934,1.1422086065498611,-4.49640324973188e-14,1.06581410364015e-13
0,0,0.35,840.921239985028,529.583659829511,25.3912445788793,0.354196970328768,1.0512465091985084,-5.55111512312578e-16,1.06581410364015e-13
0,0,0.5,813.830012563101,521.018258752368,25.6745421438028,0.373361027806517,0.9551830396918115,-3.33066907387547e-16,1.06581410364015e-13
0,0,0.65,785.070084106417,513.089848289038,26.0760243822643,0.388135209679879,0.8540425403977039,1.88737914186277e-14,1.06581410364015e-13
0,0,0.8,754.029054966445,502.358537975245,26.6505996180946,0.398915466793783,0.7473736227459196,9.76996261670138e-15,1.06581410364015e-13
0,0,0.9,731.423130778445,490.731442402798,27.1956180996089,0.403657784398241,0.6726860845396276,-7.7715611723761e-16,1.13686837721616e-13
0,0,0.95,719.103049974651,482.248273896758,27.5563608124741,0.405105218188296,0.6340409447523041,2.22044604925031e-16,1.13686837721616e-13
0,0,1,705.538591283356,470.667882718127,28.0244885004235,0.40567955603705,0.5943204439629499,4.44089209850063e-16,1.13686837721616e-13
