a_m,beta_deg,w,x_global,y_global,J,P_finish,F,probability_residual,mec_gap
0,0,0,906.616940073079,572.7885087952,25.0757219305311,0.266218101696498,1.253786096526555,-1.02140518265514e-14,9.9475983006414e-14
0,0,0.05,895.786469470461,562.29002494931,25.0862294475501,0.287677304755809,1.2272120335208392,-6.66133814775094e-16,9.9475983006414e-14
0,0,0.1,885.869215864265,554.025922660584,25.1124513334642,0.304022582091715,1.1996580517967175,-3.77475828372553e-14,1.06581410364015e-13
0,0,0.2,867.443056398354,541.793287188394,25.1970352289062,0.328364013031934,1.1422086065498611,-4.49640324973188e-14,1.06581410364015e-13
0,0,0.35,840.921239985028,529.583659829511,25.3912445788793,0.354196970328768,1.0512465091985084,-5.55111512312578e-16,1.06581410364015e-13
0,0,0.5,813.830012563101,521.018258752368,25.6745421438028,0.373361027806517,0.9551830396918115,-3.33066907387547e-16,1.06581410364015e-13
0,0,0.65,785.070084106417,513.089848289038,26.0760243822643,0.388135209679879,0.8540425403977039,1.88737914186277e-14,1.06581410364015e-13
0,0,0.8,754.029054966445,502.358537975245,26.6505996180946,0.398915466793783,0.7473736227459196,9.76996261670138e-15,1.06581410364015e-13
0,0,0.9,731.423130778445,490.731442402798,27.1956180996089,0.403657784398241,0.6726860845396276,-7.7715611723761e-16,1.13686837721616e-13
0,0,0.95,719.103049974651,482.248273896758,27.5563608124741,0.405105218188296,0.6340409447523041,2.22044604925031e-16,1.13686837721616e-13
0,0,1,705.538591283356,470.667882718127,28.0244885004235,0.40567955603705,0.5943204439629499,4.44089209850063e-16,1.13686837721616e-13
1200,30,0,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.61439876562374,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.05,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.5836788273425529,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.1,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.5529588890613659,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.2,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.491519012498992,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.35,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.399359197655431,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.5,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.30719938281187,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.65,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.21503956796830898,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.8,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.12287975312474797,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.9,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.061439876562373985,3.24185123190546e-14,5.32907051820075e-14
1200,30,0.95,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.030719938281187027,3.24185123190546e-14,5.32907051820075e-14
1200,30,1,1459.22154345624,467.722048423549,12.2879753124748,1.00000000000003,0.0,3.24185123190546e-14,5.32907051820075e-14
1200,90,0,659.112138854989,874.458570951772,23.740719287239,0.340364657254141,1.18703596436195,-6.59472476627343e-14,1.13686837721616e-13
1200,90,0.05,666.605491049443,865.959967236169,23.7462563238262,0.351536814335754,1.1603703346649565,1.33226762955019e-15,1.13686837721616e-13
1200,90,0.1,672.49144655595,858.046568131653,23.760764129393,0.360556324464262,1.133178753376259,-4.28657109807773e-13,1.20792265079217e-13
1200,90,0.2,681.174037047234,843.104218711685,23.8105314627092,0.374799020368551,1.077461454434658,3.10862446895044e-15,1.20792265079217e-13
1200,90,0.35,689.817409091041,821.041669073294,23.9334954749422,0.391076595512187,0.9909617945063561,3.77475828372553e-15,1.13686837721616e-13
1200,90,0.5,695.71809624671,798.134096475784,24.1214118222845,0.403768223962546,0.9011511835758396,4.21884749357559e-15,1.17239551400417e-13
1200,90,0.65,700.992720999255,773.676168271328,24.3925438245714,0.413741982159028,0.8079372285266313,2.88657986402541e-15,1.20792265079217e-13
1200,90,0.8,708.109525531132,746.190813636409,24.794496474838,0.421354410187699,0.7108614365982208,7.54951656745106e-15,1.17239551400417e-13
1200,90,0.9,715.77463671649,727.228854989794,25.1484280758496,0.424444996271743,0.6437416437346795,3.33066907387547e-15,1.17239551400417e-13
1200,90,0.95,721.219281381973,717.122056718042,25.3700152949396,0.425336927192505,0.6093549574044693,2.66453525910038e-15,1.17239551400417e-13
1200,90,1,728.369669450947,706.322761102005,25.6388589580167,0.425672070558573,0.574327929441427,2.88657986402541e-15,1.17239551400417e-13
1200,150,0,128.4524439978,-42.7409295759099,25.0757219305311,0.266218101696498,1.253786096526555,-1.02140518265514e-14,9.9475983006414e-14
1200,150,0.05,705.364700371924,934.849025417275,25.0862262114947,0.287674230363955,1.2272120335278005,2.22044604925031e-15,9.9475983006414e-14
1200,150,0.1,155.802487241874,-36.8712058162065,25.1124544198973,0.304023970843083,1.1996580518110702,-3.01980662698043e-14,1.06581410364015e-13
1200,150,0.2,177.88100381472,-35.4791909811578,25.1970587365262,0.328368714271575,1.142208606606733,-2.55351295663786e-15,1.06581410364015e-13
1200,150,0.35,206.951589189756,-38.1800659869771,25.3912747321218,0.354199770392212,1.0512465091566843,-1.55431223447522e-15,1.06581410364015e-13
1200,150,0.5,755.715510818029,858.128177360732,25.6745874172399,0.373363291502594,0.9551830396797005,9.32587340685131e-15,1.06581410364015e-13
1200,150,0.65,776.660969480219,836.889530668929,26.0760206143891,0.388135108264536,0.8540425403798608,7.7715611723761e-15,1.06581410364015e-13
1200,150,0.8,798.177558864566,812.069280853801,26.6506863445467,0.398916550911668,0.7473736227161325,9.76996261670138e-15,1.06581410364015e-13
1200,150,0.9,321.203266628919,-59.2743301673807,27.1956180996089,0.403657784398241,0.6726860845396276,-1.22124532708767e-15,1.13686837721616e-13
1200,150,0.95,818.360265518855,777.198240145695,27.5561689142611,0.405104713205288,0.6340409447406291,9.99200722162641e-15,1.13686837721616e-13
1200,150,1,824.326849353225,760.381103040061,28.0245639117073,0.405679556046796,0.5943204439532039,1.04360964314765e-14,1.13686837721616e-13
1700,0,0,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.0939095126215515,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.05,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.08921403699047392,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.1,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.08451856135939637,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.2,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.0751276100972412,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.35,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.061041183204008476,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.5,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.04695475631077575,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.65,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.03286832941754302,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.8,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.018781902524310296,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.9,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.009390951262155148,-4.44089209850063e-16,5.77315972805081e-15
1700,0,0.95,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.004695475631077579,-4.44089209850063e-16,5.77315972805081e-15
1700,0,1,1770.09754264753,41.9637373559216,1.87819025243103,1.0,0.0,-4.44089209850063e-16,5.77315972805081e-15
